Pattern Name,No Specialty Dice: 1st,No Specialty Dice: 2nd,No Specialty Dice: Total,One Specialty Die: 1st,One Specialty Die: 2nd,One Specialty Die: Total,Two Specialty Die: 1st,Two Specialty Die: 2nd,Two Specialty Die: Total,Three Specialty Die: 1st,Three Specialty Die: 2nd,Three Specialty Die: Total,Four Specialty Die: 1st,Four Specialty Die: 2nd,Four Specialty Die: Total,Five Specialty Die: 1st,Five Specialty Die: 2nd,Five Specialty Die: Total,One Two Specialty Dice: 1st,One Two Specialty Dice: 2nd,One Two Specialty Dice: Total,One Three Specialty Dice: 1st,One Three Specialty Dice: 2nd,One Three Specialty Dice: Total,One Four Specialty Dice: 1st,One Four Specialty Dice: 2nd,One Four Specialty Dice: Total,One Five Specialty Dice: 1st,One Five Specialty Dice: 2nd,One Five Specialty Dice: Total,Two Three Specialty Dice: 1st,Two Three Specialty Dice: 2nd,Two Three Specialty Dice: Total,Two Four Specialty Dice: 1st,Two Four Specialty Dice: 2nd,Two Four Specialty Dice: Total,Two Five Specialty Dice: 1st,Two Five Specialty Dice: 2nd,Two Five Specialty Dice: Total,Three Four Specialty Dice: 1st,Three Four Specialty Dice: 2nd,Three Four Specialty Dice: Total,Three Five Specialty Dice: 1st,Three Five Specialty Dice: 2nd,Three Five Specialty Dice: Total,Four Five Specialty Dice: 1st,Four Five Specialty Dice: 2nd,Four Five Specialty Dice: Total,One Two Three Specialty Dice: 1st,One Two Three Specialty Dice: 2nd,One Two Three Specialty Dice: Total,One Two Four Specialty Dice: 1st,One Two Four Specialty Dice: 2nd,One Two Four Specialty Dice: Total,One Two Five Specialty Dice: 1st,One Two Five Specialty Dice: 2nd,One Two Five Specialty Dice: Total,One Three Four Specialty Dice: 1st,One Three Four Specialty Dice: 2nd,One Three Four Specialty Dice: Total,One Three Five Specialty Dice: 1st,One Three Five Specialty Dice: 2nd,One Three Five Specialty Dice: Total,One Four Five Specialty Dice: 1st,One Four Five Specialty Dice: 2nd,One Four Five Specialty Dice: Total,Two Three Four Specialty Dice: 1st,Two Three Four Specialty Dice: 2nd,Two Three Four Specialty Dice: Total,Two Three Five Specialty Dice: 1st,Two Three Five Specialty Dice: 2nd,Two Three Five Specialty Dice: Total,Two Four Five Specialty Dice: 1st,Two Four Five Specialty Dice: 2nd,Two Four Five Specialty Dice: Total,Three Four Five Specialty Dice: 1st,Three Four Five Specialty Dice: 2nd,Three Four Five Specialty Dice: Total,One Two Three Four Specialty Dice: 1st,One Two Three Four Specialty Dice: 2nd,One Two Three Four Specialty Dice: Total,One Two Three Five Specialty Dice: 1st,One Two Three Five Specialty Dice: 2nd,One Two Three Five Specialty Dice: Total,One Two Four Five Specialty Dice: 1st,One Two Four Five Specialty Dice: 2nd,One Two Four Five Specialty Dice: Total,Two Three Four Five Specialty Dice: 1st,Two Three Four Five Specialty Dice: 2nd,Two Three Four Five Specialty Dice: Total
Four Unique,0.0161,0.0773,0.0934,0.1563,0.2629,0.4192,0.1638,0.2541,0.4179,0.1581,0.2654,0.4235,0.1567,0.2678,0.4245,0.0969,0.161,0.2579,0.4301,0.3515,0.7816,0.4274,0.3492,0.7766,0.4284,0.3442,0.7726,0.3059,0.3275,0.6334,0.4259,0.3581,0.784,0.4231,0.3521,0.7752,0.3088,0.3271,0.6359,0.4192,0.3579,0.7771,0.2984,0.3348,0.6332,0.2989,0.3331,0.632,0.7076,0.2513,0.9589000000000001,0.7081,0.2443,0.9523999999999999,0.5663,0.3199,0.8862000000000001,0.7089,0.2462,0.9551,0.5633,0.3215,0.8848,0.5659,0.3168,0.8827,0.72,0.238,0.958,0.5558,0.3225,0.8783,0.5605,0.3192,0.8796999999999999,0.5635,0.3213,0.8848,0.8775,0.118,0.9954999999999999,0.7732,0.2057,0.9789,0.7713,0.2062,0.9775,0.7687,0.2085,0.9772000000000001
Three Unique,0.1917,0.2688,0.4605,0.4752,0.3275,0.8027,0.4698,0.3314,0.8011999999999999,0.4758,0.333,0.8088,0.3557,0.331,0.6867000000000001,0.3491,0.3318,0.6809000000000001,0.7843,0.1875,0.9718,0.781,0.1903,0.9713,0.6251,0.2875,0.9126,0.6378,0.274,0.9118,0.7802,0.1931,0.9733,0.6311,0.2788,0.9098999999999999,0.6369,0.2684,0.9053,0.6346,0.2754,0.91,0.6332,0.2732,0.9064,0.4826,0.3152,0.7978,0.9324,0.0647,0.9971,0.8426,0.1431,0.9857,0.8492,0.1378,0.987,0.8518,0.1349,0.9867,0.8525,0.1345,0.9870000000000001,0.6989,0.2418,0.9407,0.8497,0.1386,0.9883,0.8466,0.1406,0.9872000000000001,0.7006,0.2418,0.9424,0.7021,0.2376,0.9397,0.9411,0.0568,0.9979,0.9387,0.0602,0.9989,0.8602,0.1273,0.9874999999999999,0.8538,0.1352,0.989
Two Unique,0.5537,0.2879,0.8415999999999999,0.8388,0.1426,0.9814,0.8457,0.1371,0.9828,0.716,0.2209,0.9369,0.7008,0.2314,0.9321999999999999,0.7158,0.2169,0.9327,0.9717,0.0276,0.9993,0.916,0.0789,0.9949,0.9179,0.0757,0.9936,0.9145,0.0798,0.9943,0.9151,0.0797,0.9948,0.9136,0.0799,0.9934999999999999,0.9192,0.0761,0.9953000000000001,0.7823,0.1762,0.9585,0.7888,0.17,0.9588,0.7815,0.1768,0.9582999999999999,0.979,0.0208,0.9998,0.9786,0.0206,0.9992,0.977,0.0226,0.9995999999999999,0.9372,0.0588,0.996,0.9361,0.0586,0.9947,0.9341,0.0615,0.9956,0.9354,0.0617,0.9971,0.9358,0.0594,0.9952,0.9356,0.0609,0.9964999999999999,0.8015,0.1596,0.9611,0.9769,0.023,0.9999,0.9784,0.0212,0.9996,0.9789,0.0208,0.9997,0.9316,0.0634,0.995
One Unique,0.9061,0.0861,0.9922,0.9936,0.0064,1.0,0.9823,0.0175,0.9997999999999999,0.9817,0.0178,0.9995,0.982,0.018,1.0,0.9816,0.0183,0.9999,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Two Matching,0.3315,0.2946,0.6261,0.7554,0.1972,0.9525999999999999,0.4428,0.279,0.7218,0.4452,0.2758,0.721,0.4473,0.2738,0.7211,0.4496,0.28,0.7296,0.8265,0.145,0.9715,0.8236,0.1455,0.9691,0.8254,0.1485,0.9739,0.8262,0.1467,0.9729000000000001,0.4977,0.2606,0.7583,0.5082,0.2539,0.7621,0.5033,0.2545,0.7578,0.4988,0.258,0.7568,0.5049,0.2587,0.7636000000000001,0.505,0.2576,0.7626,0.8358,0.1386,0.9743999999999999,0.8356,0.1391,0.9747,0.8364,0.136,0.9724,0.8366,0.1358,0.9724,0.8388,0.1372,0.976,0.8421,0.131,0.9731,0.5092,0.2589,0.7681,0.5172,0.2486,0.7658,0.5154,0.2566,0.772,0.5124,0.2502,0.7626,0.8389,0.1359,0.9748,0.8408,0.1305,0.9713,0.8469,0.1291,0.976,0.5177,0.2486,0.7663
Three Matching,0.0394,0.1123,0.1517,0.246,0.3221,0.5681,0.0784,0.1749,0.25329999999999997,0.074,0.1726,0.24659999999999999,0.073,0.179,0.252,0.0756,0.1784,0.254,0.3311,0.3336,0.6647000000000001,0.3282,0.3313,0.6595,0.3388,0.3358,0.6746,0.3376,0.3365,0.6741,0.1125,0.2125,0.325,0.107,0.2071,0.3141,0.1074,0.2082,0.3156,0.1067,0.1985,0.3052,0.1037,0.2062,0.3099,0.1048,0.2091,0.3139,0.3775,0.3327,0.7101999999999999,0.3835,0.3201,0.7036,0.3821,0.3301,0.7121999999999999,0.3766,0.3376,0.7142,0.3819,0.3361,0.718,0.3828,0.3366,0.7194,0.1248,0.2188,0.3436,0.1252,0.2217,0.3469,0.1334,0.2163,0.3497,0.1232,0.2073,0.3305,0.3918,0.3338,0.7256,0.3895,0.3318,0.7213,0.3819,0.3305,0.7124,0.1297,0.2246,0.3543
Four Matching,0.0009,0.0074,0.0083,0.0299,0.1098,0.1397,0.0035,0.0225,0.026,0.0032,0.0243,0.0275,0.0044,0.0204,0.024800000000000003,0.0041,0.0204,0.0245,0.0548,0.169,0.2238,0.0538,0.1745,0.2283,0.0561,0.1669,0.22299999999999998,0.0554,0.168,0.22340000000000002,0.0067,0.038,0.0447,0.0077,0.0404,0.0481,0.0082,0.0415,0.0497,0.0077,0.0406,0.048299999999999996,0.0049,0.0413,0.046200000000000005,0.0082,0.0421,0.0503,0.0789,0.2033,0.2822,0.0738,0.2076,0.2814,0.0749,0.2089,0.2838,0.0723,0.2094,0.2817,0.0784,0.2106,0.28900000000000003,0.0771,0.2101,0.2872,0.012,0.0575,0.0695,0.0122,0.0556,0.0678,0.0114,0.0539,0.0653,0.0099,0.0592,0.06910000000000001,0.0859,0.2322,0.3181,0.0881,0.2336,0.3217,0.0913,0.2239,0.3152,0.0139,0.0604,0.0743
Two Matching Two Unique,0.0088,0.0526,0.0614,0.1369,0.2693,0.4062,0.0833,0.2035,0.2868,0.0845,0.201,0.28550000000000003,0.0478,0.1173,0.1651,0.0453,0.1229,0.1682,0.3928,0.3676,0.7604,0.3813,0.376,0.7573,0.2753,0.3445,0.6197999999999999,0.2684,0.3496,0.6180000000000001,0.2407,0.3263,0.567,0.1757,0.2731,0.4488,0.1734,0.2806,0.454,0.1718,0.2753,0.4471,0.1656,0.2724,0.43799999999999994,0.0864,0.2053,0.2917,0.6449,0.2931,0.9380000000000001,0.5065,0.358,0.8644999999999999,0.506,0.3582,0.8642000000000001,0.503,0.3546,0.8576,0.5034,0.3583,0.8616999999999999,0.3589,0.3838,0.7426999999999999,0.3332,0.3329,0.6660999999999999,0.3369,0.3325,0.6694,0.2284,0.3133,0.5417000000000001,0.2303,0.3207,0.5509999999999999,0.6948,0.2634,0.9581999999999999,0.6903,0.2642,0.9545,0.5626,0.3426,0.9052,0.3846,0.3405,0.7251000000000001
Two Matching One Unique,0.0983,0.2122,0.3105,0.4289,0.3583,0.7872,0.2938,0.3072,0.601,0.1961,0.2782,0.4743,0.1957,0.2789,0.4746,0.1944,0.2866,0.481,0.692,0.2528,0.9448,0.5749,0.3153,0.8902,0.5693,0.318,0.8873,0.5715,0.3123,0.8838,0.3887,0.3052,0.6939,0.389,0.3108,0.6998,0.3916,0.3009,0.6925,0.275,0.3177,0.5927,0.2772,0.3104,0.5876,0.2715,0.308,0.5795,0.7612,0.2016,0.9628,0.7525,0.2075,0.96,0.7605,0.2066,0.9671,0.6314,0.2904,0.9218,0.6225,0.2965,0.919,0.6293,0.2908,0.9200999999999999,0.4381,0.3025,0.7405999999999999,0.4393,0.2954,0.7347,0.4458,0.2938,0.7396,0.311,0.3213,0.6323,0.7748,0.1919,0.9667,0.7746,0.1958,0.9703999999999999,0.7691,0.1975,0.9666,0.4455,0.2926,0.7381
Two Matching Two Unique,0.003,0.0231,0.026099999999999998,0.0749,0.2109,0.2858,0.0298,0.1024,0.1322,0.0141,0.0618,0.0759,0.0146,0.0611,0.0757,0.0154,0.0602,0.0756,0.2104,0.3302,0.5406,0.1463,0.2875,0.43379999999999996,0.1483,0.2882,0.4365,0.1503,0.2902,0.4405,0.0649,0.1665,0.2314,0.061,0.161,0.222,0.0608,0.1704,0.2312,0.0321,0.1077,0.1398,0.0334,0.1017,0.1351,0.0306,0.1015,0.1321,0.287,0.3582,0.6452,0.2911,0.3525,0.6436,0.2939,0.3472,0.6411,0.1963,0.3358,0.5321,0.1967,0.3378,0.5345,0.2008,0.3331,0.5339,0.0843,0.2014,0.2857,0.0931,0.202,0.29510000000000003,0.0889,0.1972,0.2861,0.0472,0.133,0.1802,0.3224,0.3679,0.6903,0.3294,0.3604,0.6898,0.3249,0.3635,0.6884,0.0987,0.2172,0.3159
